Date,Price
2015-09-08,227.76
2015-09-09,234.4
2015-09-10,237.18
2015-09-11,233.74
2015-09-14,233.06
2015-09-15,233.59
2015-09-16,238.78
2015-09-17,239.29
2015-09-18,241.12
2015-09-21,236.72
2015-09-22,238.68
2015-09-23,234.26
2015-09-24,234.26
2015-09-25,233.79
2015-09-30,236.71
2015-10-01,238.62
2015-10-02,237.15
2015-10-05,237.98
2015-10-06,240.18
2015-10-07,243.52
2015-10-08,246.02
2015-10-12,246.49
2015-10-13,246.04
2015-10-14,244.94
2015-10-15,247.89
2015-10-16,247.37
2015-10-19,247.47
2015-10-20,248.53
2015-10-21,249.25
2015-10-22,247.22
2015-10-23,249.41
2015-10-26,250.36
2015-10-27,250.04
2015-10-28,249.79
2015-10-29,248.93
2015-10-30,249.41
2015-11-02,250.6
2015-11-03,252.12
2015-11-04,252.33
2015-11-05,251.79
2015-11-06,250.25
2015-11-09,249.21
2015-11-10,245.86
2015-11-11,245.86
2015-11-12,245.14
2015-11-13,242.71
2015-11-16,238.87
2015-11-17,241.26
2015-11-18,241.44
2015-11-19,244.79
2015-11-20,244.8
2015-11-23,245.92
2015-11-24,247.51
2015-11-25,246.58
2015-11-26,249.43
2015-11-27,249.07
2015-11-30,244.24
2015-12-01,248.7
2015-12-02,246.6
2015-12-03,244.68
2015-12-04,242.15
2015-12-07,240.68
2015-12-08,239.23
2015-12-09,239.4
2015-12-10,240.6
2015-12-11,240.35
2015-12-14,238.17
2015-12-15,238.8
2015-12-16,243.49
2015-12-17,244.17
2015-12-18,243.0
2015-12-21,243.76
2015-12-22,245.48
2015-12-23,246.53
2015-12-24,245.33
2015-12-28,241.79
2015-12-29,241.22
2015-12-30,240.38
2016-01-04,234.63
2016-01-05,236.13
2016-01-06,234.6
2016-01-07,231.93
2016-01-08,233.68
2016-01-11,230.83
2016-01-12,230.55
2016-01-13,233.52
2016-01-14,231.38
2016-01-15,228.78
2016-01-18,228.59
2016-01-19,230.08
2016-01-20,224.54
2016-01-21,223.81
2016-01-22,228.79
2016-01-25,230.21
2016-01-26,227.19
2016-01-27,230.96
2016-01-28,231.51
2016-01-29,232.1
